Data;Close;lr;sd_f22;sd_f11;sd_f5;sd_h22;sd_h11;sd_h5
03/10/2016;2161.199951;-0.003266023;0.00415865;0.004556819;0.003332836;0.008780765;0.006663486;0.006643705
04/10/2016;2150.48999;-0.004967882;0.00428687;0.005051448;0.003867095;0.00883639;0.006876172;0.006482397
05/10/2016;2159.72998;0.004287486;0.004267765;0.00494715;0.00630833;0.008838676;0.006961595;0.006303059
06/10/2016;2160.77002;0.000481444;0.004088215;0.004737087;0.005862858;0.008810261;0.006202457;0.004752866
07/10/2016;2153.73999;-0.003258788;0.006389768;0.004726202;0.005744316;0.008827814;0.005887399;0.003332836
10/10/2016;2163.659912;0.00459533;0.00642529;0.004908098;0.005834522;0.008887633;0.005876951;0.003867095
11/10/2016;2136.72998;-0.012524578;0.006777219;0.004769404;0.004839197;0.007628983;0.006471484;0.00630833
12/10/2016;2139.179932;0.001145933;0.006208973;0.00308195;0.00339424;0.006962108;0.006134865;0.005862858
13/10/2016;2132.550049;-0.003104076;0.006222338;0.003183916;0.003472958;0.006238866;0.005835768;0.005744316
14/10/2016;2132.97998;0.000201584;0.006173868;0.003184653;0.003172435;0.006236972;0.005308754;0.005834522
17/10/2016;2126.5;-0.003042618;0.006331632;0.003181725;0.003185655;0.005877967;0.004556819;0.004839197
18/10/2016;2139.600098;0.006141506;0.006296491;0.003630537;0.002825448;0.005984196;0.005051448;0.00339424
19/10/2016;2144.290039;0.002189572;0.006249737;0.003294707;0.002935159;0.006001379;0.00494715;0.003472958
20/10/2016;2141.340088;-0.001376671;0.00628277;0.003113032;0.00285793;0.006009122;0.004737087;0.003172435
21/10/2016;2141.159912;-8.41452E-05;0.006411355;0.003105542;0.003029987;0.005526025;0.004726202;0.003185655
24/10/2016;2151.330078;0.004738595;0.006408129;0.007696341;0.003132038;0.005437835;0.004908098;0.002825448
25/10/2016;2143.159912;-0.003804957;0.006364216;0.007642021;0.001299444;0.00536767;0.004769404;0.002935159
26/10/2016;2139.429932;-0.001741928;0.006295623;0.008224667;0.002208317;0.005074933;0.00308195;0.00285793
27/10/2016;2133.040039;-0.002991196;0.006418916;0.008187339;0.00249756;0.004897131;0.003183916;0.003029987
28/10/2016;2126.409912;-0.00311314;0.006350203;0.008126085;0.002456964;0.004751182;0.003184653;0.003132038
31/10/2016;2126.149902;-0.000122284;0.00633583;0.008022148;0.002646218;0.004382969;0.003181725;0.001299444
01/11/2016;2111.719971;-0.006810019;0.006415002;0.008168431;0.010895215;0.00415865;0.003630537;0.002208317
02/11/2016;2097.939941;-0.006546885;0.006168325;0.007767447;0.010279013;0.00428687;0.003294707;0.00249756
03/11/2016;2088.659912;-0.004433213;0.005950885;0.007193004;0.009519239;0.004267765;0.003113032;0.002456964
04/11/2016;2085.179932;-0.00166752;0.005771652;0.007002221;0.008376244;0.004088215;0.003105542;0.002646218
07/11/2016;2131.52002;0.0219802;0.006083402;0.006822569;0.008318528;0.006389768;0.007696341;0.010895215
08/11/2016;2139.560059;0.003764878;0.004512543;0.004134364;0.004358803;0.00642529;0.007642021;0.010279013
09/11/2016;2163.26001;0.01101612;0.004564644;0.004171613;0.004715961;0.006777219;0.008224667;0.009519239
10/11/2016;2167.47998;0.001948845;0.00422061;0.003296246;0.003342894;0.006208973;0.008187339;0.008376244
11/11/2016;2164.449951;-0.001398928;0.004327642;0.003917075;0.003619869;0.006222338;0.008126085;0.008318528
14/11/2016;2164.199951;-0.000115509;0.004782804;0.003815439;0.0038118;0.006173868;0.008022148;0.004358803
15/11/2016;2180.389893;0.007452955;0.004781331;0.003989732;0.004295352;0.006331632;0.008168431;0.004715961
16/11/2016;2176.939941;-0.001583517;0.004688548;0.00372537;0.003708109;0.006296491;0.007767447;0.003342894
17/11/2016;2187.120117;0.004665469;0.004637331;0.003670454;0.003343957;0.006249737;0.007193004;0.003619869
18/11/2016;2181.899902;-0.002389651;0.004612738;0.003796871;0.003260047;0.00628277;0.007002221;0.0038118
21/11/2016;2198.179932;0.007433702;0.004615615;0.003729129;0.004177445;0.006411355;0.006822569;0.004295352
22/11/2016;2202.939941;0.002163091;0.004495638;0.004783178;0.003111195;0.006408129;0.004134364;0.003708109
23/11/2016;2204.719971;0.000807698;0.004491507;0.004783133;0.003218902;0.006364216;0.004171613;0.003343957
25/11/2016;2213.350098;0.003906746;0.004495225;0.004913972;0.003363284;0.006295623;0.003296246;0.003260047
28/11/2016;2201.719971;-0.005268389;0.004884617;0.004971385;0.002460768;0.006418916;0.003917075;0.004177445
29/11/2016;2204.659912;0.001334402;0.004713145;0.004593984;0.003308263;0.006350203;0.003815439;0.003111195
30/11/2016;2198.810059;-0.00265693;0.004854777;0.005580761;0.0035371;0.00633583;0.003989732;0.003218902
01/12/2016;2191.080078;-0.003521723;0.005053047;0.005400058;0.005575417;0.006415002;0.00372537;0.003363284
02/12/2016;2191.949951;0.000396928;0.005026281;0.005239965;0.004420415;0.006168325;0.003670454;0.002460768
05/12/2016;2204.709961;0.005804427;0.005045087;0.005195353;0.003784412;0.005950885;0.003796871;0.003308263
06/12/2016;2212.22998;0.003405084;0.004979789;0.005121218;0.00477279;0.005771652;0.003729129;0.0035371
07/12/2016;2241.350098;0.013077359;0.005066877;0.005319834;0.004768337;0.006083402;0.004783178;0.005575417
08/12/2016;2246.189941;0.002157015;0.004348936;0.004131139;0.00537202;0.004512543;0.004783133;0.004420415
09/12/2016;2259.530029;0.005921419;0.004362339;0.004112088;0.005484908;0.004564644;0.004913972;0.003784412
12/12/2016;2256.959961;-0.001138082;0.004235667;0.003813498;0.005064006;0.00422061;0.004971385;0.00477279
